"Total/ms","Delta/ms","Step"
"0.1937","0.1937","Engine SetObjectToken start"
"198.981","198.787","Engine SetObjectToken end"
"242.327","43.3463","Engine output format set, target: (null), final: PCM 16 kHz 16 bits Mono"
"243.421","1.0942","Client Speak start"
"243.814","0.3929","Engine output format set, target: PCM 48 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"244.344","0.5297","Client StartStream event"
"244.895","0.5508","Engine Speak start"
"292.57","47.6754","Client audio data received"
"292.936","0.3665","Engine audio data written, 151.69 ms / 4854 bytes silence skipped"
"296.515","3.5786","Engine Speak end"
"296.721","0.2057","Client EndStream event"
"296.979","0.2579","Client Speak end"
"297.214","0.2354","Client Speak start"
"297.695","0.4812","Engine output format set, target: PCM 48 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"297.814","0.1183","Client StartStream event"
"297.998","0.184","Engine Speak start"
"305.24","7.2426","Client audio data received"
"305.441","0.2007","Engine audio data written, 135.00 ms / 4320 bytes silence skipped"
"308.944","3.5033","Engine Speak end"
"309.181","0.2366","Client EndStream event"
"309.445","0.2639","Client Speak end"
"309.622","0.1773","Client Speak start"
"310","0.3782","Engine output format set, target: PCM 48 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"310.15","0.1502","Client StartStream event"
"310.251","0.1005","Engine Speak start"
"319.497","9.2459","Client audio data received"
"319.702","0.2049","Engine audio data written, 116.94 ms / 3742 bytes silence skipped"
"323.486","3.7839","Engine Speak end"
"323.665","0.179","Client EndStream event"
"323.837","0.172","Client Speak end"
"323.979","0.1423","Client Speak start"
"324.457","0.4779","Engine output format set, target: PCM 48 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"324.578","0.1208","Client StartStream event"
"324.851","0.2733","Engine Speak start"
"332.994","8.1432","Client audio data received"
"333.187","0.1926","Engine audio data written, 112.88 ms / 3612 bytes silence skipped"
"336.875","3.6879","Engine Speak end"
"337.039","0.1641","Client EndStream event"
"337.303","0.2639","Client Speak end"
"337.442","0.1395","Client Speak start"
"337.959","0.5167","Engine output format set, target: PCM 48 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"338.074","0.1147","Client StartStream event"
"338.187","0.1131","Engine Speak start"
"346.178","7.9909","Client audio data received"
"346.344","0.1667","Engine audio data written, 166.56 ms / 5330 bytes silence skipped"
"350.226","3.8823","Engine Speak end"
"350.4","0.1731","Client EndStream event"
"350.527","0.1275","Client Speak end"
